run_name,model_size,context_length,mode,dtype,batch_size,tool,trace_file_local_name,stage_range,report,rank,category,name,time_percent,total_time_ns,calls_or_instances,avg_ns,measured_step_seconds,status
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,4,matmul/gemm,redacted_arch_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_...,5.9,24229522,216,112173.7,0.11783360876142979,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,5,elementwise/mask/update,"void at::native::elementwise_kernel[(int)128, (int)2, void at::native::gpu_kernel_impl_nocast...",5.7,23479062,156,150506.8,0.11783360876142979,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,1,other,cudaLaunchKernel,54.7,445372071,20276,21965.5,0.11783360876142979,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,2,other,cudaDeviceSynchronize,22.8,185457624,5,37091524.8,0.11783360876142979,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,3,other,cudaMalloc,9.3,75540229,113,668497.6,0.11783360876142979,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,4,copy/concat,cudaMemcpyAsync,7.1,58082608,268,216726.1,0.11783360876142979,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,Nsight Systems CLI stats,small_ctx1024_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,5,other,cuLibraryLoadData,1.7,13767291,4,3441822.8,0.11783360876142979,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,1,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::CUDAFunctor_add[float], st...",13.5,85400397,11970,7134.5,0.3134851362556219,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,2,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::AUnaryFunctor[float, float...",12.9,81658314,12648,6456.2,0.3134851362556219,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,3,elementwise/mask/update,"void at::native::elementwise_kernel[(int)128, (int)2, void at::native::gpu_kernel_impl_nocast...",8.5,54113490,3246,16670.8,0.3134851362556219,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,4,matmul/gemm,redacted_arch_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segment_...,8.1,51570209,648,79583.7,0.3134851362556219,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,5,matmul/gemm,redacted_arch_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_...,7.7,49011595,1518,32287.0,0.3134851362556219,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,1,copy/concat,cudaMemcpyAsync,60.1,2162965940,772,2801769.4,0.3134851362556219,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,2,other,cudaMalloc,17.2,619026931,858,721476.6,0.3134851362556219,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,3,other,cudaLaunchKernel,15.4,552383640,58706,9409.3,0.3134851362556219,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,4,other,cudaDeviceSynchronize,5.2,187507025,5,37501405.0,0.3134851362556219,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,Nsight Systems CLI stats,large_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,5,other,cudaLaunchKernelExC,0.6,21178844,3690,5739.5,0.3134851362556219,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,1,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::CUDAFunctor_add[float], st...",10.6,109043165,11970,9109.7,0.38700252398848534,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,2,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::AUnaryFunctor[float, float...",8.0,82516366,12648,6524.1,0.38700252398848534,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,Nsight Systems CLI stats,large_ctx512_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,3,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::BinaryFunctor[float, float...",7.5,76883459,3480,22092.9,0.38700252398848534,OK
