model_size,batch_size,context_length,dtype,tool,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
medium,1,1024,fp32,torch.profiler,attention/value,24,0.0,0.0,2433.5999999999913,2433.5999999999913
medium,1,1024,fp32,torch.profiler,backward,1,127067.63299999999,127028.03699999998,0.8959999999933643,0.0
medium,1,1024,fp32,torch.profiler,backward,1,0.0,0.0,0.8959999999933643,0.8959999999933643
medium,1,1024,fp32,torch.profiler,profile/warmup,1,1875.909,1875.909,0.0,0.0
medium,1,256,fp32,cuda_event,backward,1,,,128864.63928222656,
medium,1,256,fp32,cuda_event,forward,1,,,65967.68188476562,
medium,1,256,fp32,cuda_event,optimizer,1,,,74116.22619628906,
medium,1,256,fp32,torch.profiler,Optimizer.step#AdamW.step,1,0.0,0.0,73832.97100000002,73832.97100000002
medium,1,256,fp32,torch.profiler,forward,1,0.0,0.0,65468.838,65468.838
medium,1,256,fp32,torch.profiler,profile/measure,1,271467.795,2373.060999999987,39952.36999999981,0.0
medium,1,256,fp32,torch.profiler,optimizer,1,73160.22500000003,107.92700000002515,30111.399999999936,0.0
medium,1,256,fp32,torch.profiler,Optimizer.step#AdamW.step,1,73052.29800000001,19666.235000000772,30111.399999999936,0.0
medium,1,256,fp32,torch.profiler,aten::bmm,651,20215.20599999978,14420.683999999692,21524.152000000257,21524.152000000257
medium,1,256,fp32,torch.profiler,aten::mul,2382,36329.50800000028,22972.783000000407,17287.734999999793,17287.734999999793
medium,1,256,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",1412,0.0,0.0,14464.189000000071,14464.189000000071
medium,1,256,fp32,torch.profiler,autograd::engine::evaluate_function: BmmBackward0,217,17462.442999999985,2041.593000000139,14013.881000000241,0.0
medium,1,256,fp32,torch.profiler,BmmBackward0,217,15420.849999999846,1710.7279999998864,14013.881000000241,0.0
medium,1,256,fp32,torch.profiler,forward,1,65875.399,14365.184999999867,9832.521999999854,0.0
medium,1,256,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",1335,0.0,0.0,8379.007000000192,8379.007000000192
medium,1,256,fp32,torch.profiler,aten::einsum,217,23057.465000000062,4742.077999999848,7510.271000000017,0.0
medium,1,256,fp32,torch.profiler,aten::copy_,362,6318.352999999743,3291.6119999997463,6146.053999999982,6146.053999999982
medium,1,256,fp32,torch.profiler,ampere_sgemm_128x64_tn,169,0.0,0.0,6109.537999999984,6109.537999999984
